provider,DRG_CD,_TYPE_,_FREQ_,ip_type_sum,n_claims,pb_type_sum,sn_type_sum,proc227_Sum,proc232_Sum,proc34_Sum,proc48_Sum,,,,,,,,,,
390044,61,3,1,1,1,24,0,18,0,0,0,,,,,,,,,,
390049,61,3,1,0,1,23,0,18,0,0,0,,,,,,,,,,
390111,61,3,1,1,1,13,0,0,0,0,0,,,,,,,,,,
390180,61,3,1,1,1,23,0,11,0,0,0,,,,,,,,,,
390223,61,3,1,0,1,22,0,14,0,0,0,,,,,,,,,,
390231,61,3,1,1,1,34,0,18,0,0,0,,,,,,,,,,
390256,61,3,1,1,1,36,0,28,0,0,0,,,,,,,,,,
390263,61,3,1,0,1,24,0,8,0,0,0,,,,,,,,,,
390267,61,3,1,0,1,37,0,21,0,0,0,,,,,,,,,,
420004,61,3,1,0,1,31,0,19,0,0,0,,,,,,,,,,
420007,61,3,1,0,0,29,0,11,0,0,0,,,,,,,,,,
420010,61,3,1,1,1,20,0,23,0,0,0,,,,,,,,,,
420051,61,3,1,1,1,17,1,3,0,0,0,,,,,,,,,,
420073,61,3,1,0,1,20,0,26,0,0,0,,,,,,,,,,
420078,61,3,3,1,1,13,0,10,0,0,0,,,,,,,,,,
420079,61,3,1,0,0,40,0,14,0,0,0,,,,,,,,,,
420085,61,3,2,1,1,24,0,22,0,0,0,,,,,,,,,,
420089,61,3,1,1,1,32,0,20,0,0,0,,,,,,,,,,
440006,61,3,1,1,1,25,0,18,0,0,0,,,,,,,,,,
440015,61,3,1,0,1,9,0,9,0,0,0,,,,,,,,,,
440039,61,3,2,0,1,11,0,22,0,0,0,,,,,,,,,,
440049,61,3,1,1,1,44,1,12,0,0,0,,,,,,,,,,
440063,61,3,1,1,1,4,1,8,0,0,0,,,,,,,,,,
440197,61,3,1,0,0,45,0,2,0,0,0,,,,,,,,,,
450002,61,3,1,0,1,42,0,4,0,0,0,,,,,,,,,,
450021,61,3,3,0,0,9,0,15,0,0,0,,,,,,,,,,
450023,61,3,2,1,0,16,0,14,0,0,0,,,,,,,,,,
450037,61,3,2,1,1,46,0,10,0,0,0,,,,,,,,,,
450040,61,3,1,0,1,25,0,15,0,0,0,,,,,,,,,,
450042,61,3,1,1,0,27,0,19,0,0,0,,,,,,,,,,
450054,61,3,1,1,1,31,0,0,0,0,0,,,,,,,,,,
450058,61,3,1,1,1,10,0,0,0,0,0,,,,,,,,,,
450068,61,3,8,1,1,15,0,10,0,0,0,,,,,,,,,,
450102,61,3,2,0,1,16,0,23,0,0,0,,,,,,,,,,
450135,61,3,2,0,0,42,0,8,0,0,0,,,,,,,,,,
450184,61,3,1,0,1,4,0,21,0,0,0,,,,,,,,,,
450193,61,3,3,1,1,32,0,11,0,0,0,,,,,,,,,,
450200,61,3,1,0,1,27,0,4,0,0,0,,,,,,,,,,
450231,61,3,1,1,1,7,0,11,0,0,0,,,,,,,,,,
450358,61,3,1,1,1,34,0,8,0,0,0,,,,,,,,,,
450431,61,3,2,1,1,12,0,4,0,0,0,,,,,,,,,,
450462,61,3,1,1,1,36,0,7,0,0,0,,,,,,,,,,
450617,61,3,1,1,0,21,0,0,0,0,0,,,,,,,,,,
450638,61,3,1,0,0,12,0,9,0,0,0,,,,,,,,,,
450639,61,3,1,1,1,14,0,12,0,0,0,,,,,,,,,,
450647,61,3,2,1,1,30,0,4,0,0,0,,,,,,,,,,
